system:index,month,name,water,year,.geo
0_0_00000000000000000007,1.0,Al-Ramadi,0.0,2013.0,
0_0_0000000000000000000b,1.0,Al-Rutba,186.0,2013.0,
0_0_00000000000000000018,1.0,Ana,0.0,2013.0,
0_0_0000000000000000002b,1.0,Al-Falluja,0.0,2013.0,
0_0_00000000000000000037,1.0,Al-Kaim,0.0,2013.0,
0_0_0000000000000000004a,1.0,Haditha,0.0,2013.0,
0_0_0000000000000000004c,1.0,Heet,0.0,2013.0,
0_0_00000000000000000006,1.0,Al-Qurna,293113.4784313721,2013.0,
0_0_00000000000000000016,1.0,Al-Zubair,9931.952941176469,2013.0,
0_0_00000000000000000020,1.0,Abu Al-Khaseeb,45653.400000000045,2013.0,
0_0_00000000000000000027,1.0,Al-Basrah,241658.12941176473,2013.0,
0_0_0000000000000000002c,1.0,Al-Faw,241020.38431372517,2013.0,
0_0_00000000000000000043,1.0,Al-Midaina,209836.96862745058,2013.0,
0_0_0000000000000000005c,1.0,Shat Al-Arab,39670.235294117716,2013.0,
0_0_0000000000000000000a,1.0,Al-Rumaitha,9206.600000000002,2013.0,
0_0_0000000000000000000c,1.0,Al-Salman,22917.541176470586,2013.0,
0_0_0000000000000000000d,1.0,Al-Samawa,12065.015686274512,2013.0,
0_0_0000000000000000003a,1.0,Al-Khidhir,10805.031372549027,2013.0,
0_0_00000000000000000003,1.0,Al-Najaf,38137.619607843146,2013.0,
0_0_0000000000000000003b,1.0,Al-Kufa,476.62745098039215,2013.0,
0_0_00000000000000000041,1.0,Al-Manathera,4204.745098039216,2013.0,
0_0_0000000000000000000e,1.0,Al-Shamiya,1644.2078431372547,2013.0,
0_0_00000000000000000021,1.0,Afaq,4373.0,2013.0,
0_0_0000000000000000002a,1.0,Al-Diwaniya,739.0,2013.0,
0_0_0000000000000000002f,1.0,Al-Hamza,6002.07058823529,2013.0,
0_0_00000000000000000012,1.0,Al-Sulaymaniyah,0.0,2013.0,
0_0_0000000000000000001f,1.0,Chamchamal,0.0,2013.0,
0_0_00000000000000000045,1.0,Derbendikhan,0.0,2013.0,
0_0_00000000000000000047,1.0,Dokan,0.0,2013.0,
0_0_0000000000000000004b,1.0,Halabcha,0.0,2013.0,
0_0_0000000000000000004d,1.0,Kalar,0.0,2013.0,
0_0_00000000000000000054,1.0,Panjwin,0.0,2013.0,
0_0_00000000000000000055,1.0,Pshdar,0.0,2013.0,
0_0_00000000000000000057,1.0,Rania,0.0,2013.0,
0_0_0000000000000000005b,1.0,Sharbazher,0.0,2013.0,
0_0_00000000000000000002,1.0,Al-Mussyab,0.0,2013.0,
0_0_00000000000000000030,1.0,Al-Hashimiya,0.0,2013.0,
0_0_00000000000000000033,1.0,Al-Hilla,0.0,2013.0,
0_0_0000000000000000003e,1.0,Al-Mahaweel,0.0,2013.0,
0_0_00000000000000000009,1.0,Al-Risafa,0.0,2013.0,
0_0_00000000000000000014,1.0,Al-Thawra,0.0,2013.0,
0_0_00000000000000000023,1.0,Al-Adhamiya,0.0,2013.0,
0_0_00000000000000000035,1.0,Al-Kadhmiyah,0.0,2013.0,
0_0_00000000000000000038,1.0,Al-Karkh,0.0,2013.0,
0_0_0000000000000000003d,1.0,Al-Mada'in,0.0,2013.0,
0_0_0000000000000000003f,1.0,Al-Mahmoudiya,0.0,2013.0,
0_0_00000000000000000024,1.0,Al-Amadiya,0.0,2013.0,
0_0_00000000000000000048,1.0,Duhok,0.0,2013.0,
0_0_0000000000000000005e,1.0,Sumail,0.0,2013.0,
0_0_00000000000000000064,1.0,Zakho,0.0,2013.0,
0_0_00000000000000000001,1.0,Al-Muqdadiya,0.0,2013.0,
0_0_0000000000000000001c,1.0,Baladruz,0.0,2013.0,
0_0_0000000000000000001d,1.0,Baquba,0.0,2013.0,
0_0_00000000000000000039,1.0,Al-Khalis,0.0,2013.0,
0_0_0000000000000000004f,1.0,Khanaqin,0.0,2013.0,
0_0_00000000000000000050,1.0,Kifri,0.0,2013.0,
0_0_00000000000000000015,1.0,Al-Zibar,0.0,2013.0,
0_0_00000000000000000049,1.0,Erbil,0.0,2013.0,
0_0_00000000000000000052,1.0,Koysinjaq,0.0,2013.0,
0_0_00000000000000000053,1.0,Makhmour,0.0,2013.0,
0_0_00000000000000000058,1.0,Rawanduz,0.0,2013.0,
0_0_0000000000000000005a,1.0,Shaqlawa,0.0,2013.0,
0_0_00000000000000000022,1.0,Ain Al-Tamur,0.0,2013.0,
0_0_00000000000000000034,1.0,Al-Hindiya,0.0,2013.0,
0_0_0000000000000000004e,1.0,Kerbela,0.0,2013.0,
0_0_00000000000000000032,1.0,Al-Hawiga,0.0,2013.0,
0_0_00000000000000000044,1.0,Daquq,0.0,2013.0,
0_0_00000000000000000046,1.0,Dibis,0.0,2013.0,
0_0_00000000000000000051,1.0,Kirkuk,0.0,2013.0,
0_0_00000000000000000017,1.0,Ali Al-Gharbi,0.0,2013.0,
0_0_00000000000000000025,1.0,Al-Amara,31036.250980392157,2013.0,
0_0_00000000000000000036,1.0,Al-Kahla,391093.0156862745,2013.0,
0_0_00000000000000000040,1.0,Al-Maimouna,124409.03137254906,2013.0,
0_0_00000000000000000042,1.0,Al-Mejar Al-Kabir,54252.04313725492,2013.0,
0_0_00000000000000000056,1.0,Qalat Saleh,673.0941176470589,2013.0,
0_0_00000000000000000000,1.0,Al-Mosul,0.0,2013.0,
0_0_00000000000000000010,1.0,Al-Shikhan,0.0,2013.0,
0_0_00000000000000000019,1.0,Aqra,0.0,2013.0,
0_0_00000000000000000026,1.0,Al-Baaj,0.0,2013.0,
0_0_0000000000000000002e,1.0,Al-Hamdaniya,0.0,2013.0,
0_0_00000000000000000031,1.0,Al-Hatra,0.0,2013.0,
0_0_0000000000000000005d,1.0,Sinjar,0.0,2013.0,
0_0_00000000000000000060,1.0,Telafar,0.0,2013.0,
0_0_00000000000000000062,1.0,Tilkaef,0.0,2013.0,
0_0_00000000000000000011,1.0,Al-Shirqat,0.0,2013.0,
0_0_0000000000000000001b,1.0,Balad,0.0,2013.0,
0_0_0000000000000000001e,1.0,Beygee,0.0,2013.0,
0_0_00000000000000000029,1.0,Al-Daur,0.0,2013.0,
0_0_00000000000000000059,1.0,Samarra,0.0,2013.0,
0_0_00000000000000000061,1.0,Tikrit,0.0,2013.0,
0_0_00000000000000000063,1.0,Tooz Khurmato,0.0,2013.0,
0_0_00000000000000000005,1.0,Al-Nasiriya,166647.64705882338,2013.0,
0_0_00000000000000000008,1.0,Al-Rifai,26750.501960784328,2013.0,
0_0_0000000000000000000f,1.0,Al-Shatra,29120.34901960785,2013.0,
0_0_00000000000000000028,1.0,Al-Chibayish,563489.4666666667,2013.0,
0_0_0000000000000000005f,1.0,Suq Al-Shoyokh,296591.02745098027,2013.0,
0_0_00000000000000000004,1.0,Al-Namaniya,0.0,2013.0,
0_0_00000000000000000013,1.0,Al-Suwaira,0.0,2013.0,
0_0_0000000000000000001a,1.0,Badra,0.0,2013.0,
0_0_0000000000000000002d,1.0,Al-Hai,790.5254901960783,2013.0,
0_0_0000000000000000003c,1.0,Al-Kut,16.0,2013.0,
0_1_00000000000000000007,2.0,Al-Ramadi,914.0,2013.0,
0_1_0000000000000000000b,2.0,Al-Rutba,1022.0,2013.0,
0_1_00000000000000000018,2.0,Ana,207426.51372549,2013.0,
0_1_0000000000000000002b,2.0,Al-Falluja,2101.8509803921565,2013.0,
0_1_00000000000000000037,2.0,Al-Kaim,38782.345098039244,2013.0,
0_1_0000000000000000004a,2.0,Haditha,360984.082352941,2013.0,
0_1_0000000000000000004c,2.0,Heet,148406.0274509804,2013.0,
0_1_00000000000000000006,2.0,Al-Qurna,374940.76470588194,2013.0,
0_1_00000000000000000016,2.0,Al-Zubair,12504.156862745112,2013.0,
0_1_00000000000000000020,2.0,Abu Al-Khaseeb,54935.16862745106,2013.0,
0_1_00000000000000000027,2.0,Al-Basrah,290793.5882352941,2013.0,
0_1_0000000000000000002c,2.0,Al-Faw,318858.1607843131,2013.0,
0_1_00000000000000000043,2.0,Al-Midaina,318635.5372549015,2013.0,
0_1_0000000000000000005c,2.0,Shat Al-Arab,50015.88235294131,2013.0,
0_1_0000000000000000000a,2.0,Al-Rumaitha,12054.058823529413,2013.0,
0_1_0000000000000000000c,2.0,Al-Salman,24223.211764705877,2013.0,
0_1_0000000000000000000d,2.0,Al-Samawa,12673.576470588236,2013.0,
