system:index,district,governorate,water,year,.geo
0_0000000000000000000b,Al-Falluja,Al-Anbar,741409.0078431345,1984.0,
0_00000000000000000017,Al-Kaim,Al-Anbar,20813.46274509804,1984.0,
0_0000000000000000002b,Al-Ramadi,Al-Anbar,956701.121568627,1984.0,
0_00000000000000000045,Al-Rutba,Al-Anbar,363.0,1984.0,
0_00000000000000000052,Ana,Al-Anbar,49299.603921568625,1984.0,
0_00000000000000000060,Haditha,Al-Anbar,42872.40392156863,1984.0,
0_00000000000000000062,Heet,Al-Anbar,578572.0196078429,1984.0,
0_00000000000000000000,Abu Al-Khaseeb,Al-Basrah,3161.3176470588232,1984.0,
0_00000000000000000007,Al-Basrah,Al-Basrah,0.0,1984.0,
0_0000000000000000000c,Al-Faw,Al-Basrah,249039.49411764648,1984.0,
0_00000000000000000023,Al-Midaina,Al-Basrah,0.0,1984.0,
0_0000000000000000002a,Al-Qurna,Al-Basrah,0.0,1984.0,
0_0000000000000000003c,Shat Al-Arab,Al-Basrah,1190.78431372549,1984.0,
0_00000000000000000050,Al-Zubair,Al-Basrah,2830.9725490196074,1984.0,
0_0000000000000000001a,Al-Khidhir,Al-Muthanna,6975.396078431373,1984.0,
0_0000000000000000002e,Al-Rumaitha,Al-Muthanna,8271.180392156859,1984.0,
0_00000000000000000046,Al-Salman,Al-Muthanna,1429.0235294117645,1984.0,
0_00000000000000000047,Al-Samawa,Al-Muthanna,6448.890196078431,1984.0,
0_0000000000000000001b,Al-Kufa,Al-Najaf,4590.866666666667,1984.0,
0_00000000000000000021,Al-Manathera,Al-Najaf,3608.176470588235,1984.0,
0_00000000000000000027,Al-Najaf,Al-Najaf,1511.7686274509801,1984.0,
0_00000000000000000001,Afaq,Al-Qadissiya,53246.57254901966,1984.0,
0_0000000000000000000a,Al-Diwaniya,Al-Qadissiya,123.0,1984.0,
0_0000000000000000000f,Al-Hamza,Al-Qadissiya,9728.694117647061,1984.0,
0_00000000000000000048,Al-Shamiya,Al-Qadissiya,2381.5882352941176,1984.0,
0_00000000000000000034,Panjwin,Al-Sulaymaniyah,0.0,1984.0,
0_00000000000000000035,Pshdar,Al-Sulaymaniyah,858.1647058823529,1984.0,
0_00000000000000000037,Rania,Al-Sulaymaniyah,94804.34509803896,1984.0,
0_0000000000000000003b,Sharbazher,Al-Sulaymaniyah,92.35686274509804,1984.0,
0_0000000000000000004c,Al-Sulaymaniyah,Al-Sulaymaniyah,0.0,1984.0,
0_00000000000000000059,Chamchamal,Al-Sulaymaniyah,49.51372549019608,1984.0,
0_0000000000000000005b,Derbendikhan,Al-Sulaymaniyah,49251.56470588235,1984.0,
0_0000000000000000005d,Dokan,Al-Sulaymaniyah,73969.41568627454,1984.0,
0_00000000000000000061,Halabcha,Al-Sulaymaniyah,1589.9686274509804,1984.0,
0_00000000000000000063,Kalar,Al-Sulaymaniyah,2306.5333333333333,1984.0,
0_00000000000000000010,Al-Hashimiya,Babil,1155.0,1984.0,
0_00000000000000000013,Al-Hilla,Babil,5802.094117647059,1984.0,
0_0000000000000000001e,Al-Mahaweel,Babil,736.721568627451,1984.0,
0_00000000000000000026,Al-Mussyab,Babil,14979.423529411763,1984.0,
0_00000000000000000003,Al-Adhamiya,Baghdad,2608.196078431372,1984.0,
0_00000000000000000015,Al-Kadhmiyah,Baghdad,17454.858823529412,1984.0,
0_00000000000000000018,Al-Karkh,Baghdad,4954.023529411763,1984.0,
0_0000000000000000001d,Al-Mada'in,Baghdad,9523.819607843141,1984.0,
0_0000000000000000001f,Al-Mahmoudiya,Baghdad,5579.737254901961,1984.0,
0_0000000000000000002d,Al-Risafa,Baghdad,5166.458823529409,1984.0,
0_0000000000000000004e,Al-Thawra,Baghdad,425.09411764705885,1984.0,
0_00000000000000000004,Al-Amadiya,Duhok,989.3686274509804,1984.0,
0_0000000000000000003e,Sumail,Duhok,2688.0901960784313,1984.0,
0_00000000000000000044,Zakho,Duhok,610.2666666666667,1984.0,
0_0000000000000000005e,Duhok,Duhok,5.0,1984.0,
0_00000000000000000019,Al-Khalis,Diyala,8542.129411764705,1984.0,
0_00000000000000000025,Al-Muqdadiya,Diyala,224.156862745098,1984.0,
0_0000000000000000002f,Khanaqin,Diyala,77068.7960784313,1984.0,
0_00000000000000000030,Kifri,Diyala,0.0,1984.0,
0_00000000000000000056,Baladruz,Diyala,96.0,1984.0,
0_00000000000000000057,Baquba,Diyala,1084.3529411764705,1984.0,
0_00000000000000000032,Koysinjaq,Erbil,2461.482352941176,1984.0,
